"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"181";"it takes two to three years of preparation for admission in the renowned schools in city .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.086065"
"182";"as a result , in many cases , the age of the students is as high , so much is the level of knowledge .";"ভারী কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি নিয়ে আসবেন।";"0.647191"
"183";"in addition , there are more teacher who are experienced in teaching and enrichment of educational materials .";"জীবনে চড়াই উতরাই আছে।";"0.241180"
"184";"even then , among the 57 people in the merit list , there are only five from whole capital , whereas nine from tangail's bindubabasini girls' high school!";"এখনই সময় যদি বৃষ্টি থামে , তাহলে আমি সাঁতার কাটতে যাবো।";"0.799082"
"185";"the students of the remote areas of lesser known schoolshave got place in the merit list .";"সভাটার পূর্বদিকে এবং আমাদের সময় পাঁচ দুটোই স্থির করতে হয়নি।";"1.041864"
"186";"it is undoubtedly an optimistic tradition .";"এখন এগারোটা বাজতে বাজে।";"3.772692"
"187";"if this outcome is devoid of defect in the normal level , it is undoubtedly a hope for our country's neglected population and the underprivileged people .";"শত্রুর যদি যদি ডাক্তারের ডাক্তারের পরামর্শ মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.052262"
"188";"but about three million students' exams can be examined in such a short time , in the form of assessment , their management , the introduction of the creative approach , perhaps the assessment of the field based assessments - all of these can lead to the error of progressive levels .";"ভারী কুয়াশার জন্য অনুবাদ করা যাও! কিন্তু চা কাপ এক কাপ কফি করার মতো সাহস ছিলো না।";"0.145912"
"189";"therefore , it is advisable to have check and balance for new methods to be efective .";"কয়েক সপ্তাহে সেই জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.135446"
"190";"but if this new innovative method can be evaluated through alternate methods , then it may be possible to reduce its deficiencies to acceptable levels .";"এই রাস্তা যদি খুব সমস্ত জন ঘন্টা জিনিস আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.673453"
"191";"the primary scholarship will be given on the basis of these results .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.528480"
"192";"we have given all students the opportunity to participate in public examinations .";"আমাদের পাসপোর্টের মেয়াদ শেষ চুল এসেছি।";"1.263783"
"193";"so , it is normal that not everyone will come in the competition of excellence , even in the countries with all opportunities this does not happen .";"ভারী কুয়াশার জন্য আমাদের প্রথম ঘন্টা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"1.155217"
"194";"i think conducting a primary scholarship test , the acceptance of the initial closing test can be verified with its results .";"আমার মনে হয় না অন্তত পার্ক স্ট্রিটের তার সময় ছিল না।";"0.689365"
"195";"congratulations to the child of tangail who got 598 out of 600 .";"ভারী কুয়াশার জন্য একজনকেও দেখা করতে হয়নি।";"1.393487"
